route_id,service_id,shape_id,trip_id,trip_headsign,trip_short_name,direction_id
4-10,04_1,4-10-A-1,4-10-1-1-051200,AHUY,,0
4-10,04_1,4-10-R-2,4-10-1-1-055800,TALANT Citadelle,,1
4-10,04_1,4-10-A-1,4-10-2-1-060000,AHUY,,0
4-10,04_1,4-10-R-2,4-10-3-1-061700,TALANT Citadelle,,1
4-10,04_1,4-10-A-1,4-10-4-1-062000,AHUY,,0
4-10,04_1,4-10-R-2,4-10-2-1-063900,TALANT Citadelle,,1
4-10,04_1,4-10-A-1,4-10-1-1-064000,AHUY,,0
4-10,04_1,4-10-R-2,4-10-5-1-065300,TALANT Citadelle,,1
4-10,04_1,4-10-A-1,4-10-3-1-065700,AHUY,,0
4-10,04_1,4-10-R-2,4-10-4-1-071100,TALANT Citadelle,,1
4-10,04_1,4-10-A-1,4-10-2-1-071900,AHUY,,0
4-10,04_1,4-10-R-2,4-10-1-1-072900,TALANT Citadelle,,1
4-10,04_1,4-10-A-1,4-10-5-1-073700,AHUY,,0
4-10,04_1,4-10-R-2,4-10-3-1-074900,TALANT Citadelle,,1
4-10,04_1,4-10-A-1,4-10-4-1-075800,AHUY,,0
4-10,04_1,4-10-R-2,4-10-2-1-080900,TALANT Citadelle,,1
4-10,04_1,4-10-A-1,4-10-1-1-081600,AHUY,,0
4-10,04_1,4-10-R-2,4-10-5-1-082800,TALANT Citadelle,,1
4-10,04_1,4-10-A-1,4-10-3-1-083700,AHUY,,0
4-10,04_1,4-10-R-2,4-10-4-1-084800,TALANT Citadelle,,1
4-10,04_1,4-10-A-1,4-10-2-1-090000,AHUY,,0
4-10,04_1,4-10-R-2,4-10-1-1-090800,TALANT Citadelle,,1
4-10,04_1,4-10-A-1,4-10-5-1-091900,AHUY,,0
4-10,04_1,4-10-R-2,4-10-3-1-092800,TALANT Citadelle,,1
4-10,04_1,4-10-A-1,4-10-4-1-093900,AHUY,,0
4-10,04_1,4-10-R-2,4-10-2-1-094900,TALANT Citadelle,,1
4-10,04_1,4-10-A-1,4-10-1-1-095900,AHUY,,0
4-10,04_1,4-10-R-2,4-10-5-1-101000,TALANT Citadelle,,1
4-10,04_1,4-10-A-1,4-10-3-1-101900,AHUY,,0
4-10,04_1,4-10-R-2,4-10-4-1-103000,TALANT Citadelle,,1
4-10,04_1,4-10-A-1,4-10-2-1-103900,AHUY,,0
4-10,04_1,4-10-R-2,4-10-1-1-105000,TALANT Citadelle,,1
4-10,04_1,4-10-A-1,4-10-5-1-105900,AHUY,,0
4-10,04_1,4-10-R-2,4-10-3-1-111000,TALANT Citadelle,,1
4-10,04_1,4-10-A-1,4-10-4-1-111900,AHUY,,0
4-10,04_1,4-10-R-2,4-10-2-1-113000,TALANT Citadelle,,1
4-10,04_1,4-10-A-1,4-10-1-1-113900,AHUY,,0
4-10,04_1,4-10-R-2,4-10-5-1-114700,TALANT Citadelle,,1
4-10,04_1,4-10-A-1,4-10-3-1-115900,AHUY,,0
4-10,04_1,4-10-R-2,4-10-4-1-120800,TALANT Citadelle,,1
4-10,04_1,4-10-A-1,4-10-2-1-121900,AHUY,,0
4-10,04_1,4-10-R-2,4-10-1-1-122900,TALANT Citadelle,,1
4-10,04_1,4-10-A-1,4-10-5-1-123900,AHUY,,0
4-10,04_1,4-10-R-2,4-10-3-1-124900,TALANT Citadelle,,1
4-10,04_1,4-10-A-1,4-10-4-1-125700,AHUY,,0
4-10,04_1,4-10-R-2,4-10-2-1-130800,TALANT Citadelle,,1
4-10,04_1,4-10-A-1,4-10-1-1-131700,AHUY,,0
4-10,04_1,4-10-R-2,4-10-5-1-133000,TALANT Citadelle,,1
4-10,04_1,4-10-A-1,4-10-3-1-133800,AHUY,,0
4-10,04_1,4-10-R-2,4-10-4-1-135000,TALANT Citadelle,,1
4-10,04_1,4-10-A-1,4-10-2-1-135800,AHUY,,0
4-10,04_1,4-10-R-2,4-10-1-1-141000,TALANT Citadelle,,1
4-10,04_1,4-10-A-1,4-10-5-1-141800,AHUY,,0
4-10,04_1,4-10-R-2,4-10-3-1-143000,TALANT Citadelle,,1
4-10,04_1,4-10-A-1,4-10-4-1-143800,AHUY,,0
4-10,04_1,4-10-R-2,4-10-2-1-145000,TALANT Citadelle,,1
4-10,04_1,4-10-A-1,4-10-1-1-145800,AHUY,,0
4-10,04_1,4-10-R-2,4-10-5-1-151000,TALANT Citadelle,,1
4-10,04_1,4-10-A-1,4-10-3-1-151800,AHUY,,0
4-10,04_1,4-10-R-2,4-10-4-1-153000,TALANT Citadelle,,1
4-10,04_1,4-10-A-1,4-10-2-1-153800,AHUY,,0
4-10,04_1,4-10-R-2,4-10-1-1-155000,TALANT Citadelle,,1
4-10,04_1,4-10-A-1,4-10-5-1-155800,AHUY,,0
4-10,04_1,4-10-R-2,4-10-3-1-161000,TALANT Citadelle,,1
4-10,04_1,4-10-A-1,4-10-4-1-161800,AHUY,,0
4-10,04_1,4-10-R-2,4-10-2-1-163100,TALANT Citadelle,,1
4-10,04_1,4-10-A-1,4-10-1-1-163800,AHUY,,0
4-10,04_1,4-10-R-2,4-10-5-1-165100,TALANT Citadelle,,1
4-10,04_1,4-10-A-1,4-10-3-1-165900,AHUY,,0
4-10,04_1,4-10-R-2,4-10-4-1-171000,TALANT Citadelle,,1
4-10,04_1,4-10-A-1,4-10-2-1-172100,AHUY,,0
4-10,04_1,4-10-R-2,4-10-1-1-173200,TALANT Citadelle,,1
4-10,04_1,4-10-A-1,4-10-5-1-174500,AHUY,,0
4-10,04_1,4-10-R-2,4-10-3-1-175300,TALANT Citadelle,,1
4-10,04_1,4-10-A-1,4-10-4-1-180700,AHUY,,0
4-10,04_1,4-10-R-2,4-10-2-1-181500,TALANT Citadelle,,1
4-10,04_1,4-10-A-1,4-10-1-1-183000,AHUY,,0
4-10,04_1,4-10-R-2,4-10-5-1-183800,TALANT Citadelle,,1
4-10,04_1,4-10-A-1,4-10-3-1-185200,AHUY,,0
4-10,04_1,4-10-R-2,4-10-4-1-190200,TALANT Citadelle,,1
4-10,04_1,4-10-A-1,4-10-2-1-191300,AHUY,,0
4-10,04_1,4-10-R-2,4-10-1-1-193100,TALANT Citadelle,,1
4-10,04_1,4-10-A-1,4-10-5-1-193500,AHUY,,0
4-10,04_1,4-10-R-2,4-10-2-1-195700,TALANT Citadelle,,1
4-10,04_1,4-10-A-1,4-10-4-1-200200,AHUY,,0
4-10,04_1,4-10-R-2,4-10-5-1-202200,TALANT Citadelle,,1
4-10,04_1,4-10-A-1,4-10-1-1-203100,AHUY,,0
4-10,18_B,4-10-A-11,18-10-1-B-133000,DARCY,,0
4-10,18_B,4-10-R-22,18-10-50-B-133000,DARCY,,1
4-10,18_B,4-10-R-12,18-10-1-B-134800,Talant,,1
